slot	token	lemma	l_freq_corp	l_freq_w_point	token_freq_corp
w3	видно	видный	6	3	7
w4	эти	этот	123	113	14
w5	пальмы	пальма	5	3	6
w6	pge	pge	544	481	544
w2	в	в	159	26	159
w3	тюрьме	тюрьма	41	8	12
w4	его	он	570	142	93
w5	будет	быть	289	33	21
w6	избивать	избивать	3	1	3
w7	pge	pge	544	481	544
w2	думает	думать	44	10	17
w3	о	о	27	3	22
w4	том	то	219	27	15
w5	что	что	258	54	251
w6	он	он	570	142	350
w7	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	они	они	119	30	84
w4	предлагают	предлагать	3	2	2
w5	pge	pge	544	481	544
w2	и	и	198	32	198
w3	ребенок	ребенок	43	9	20
w4	pge	pge	544	481	544
w2	слушай	слушай	36	7	36
w3	не	не	270	32	271
w4	не	не	270	32	271
w5	ты	ты	42	5	33
w6	права	право	4	1	4
w7	тут	тут	94	32	94
w8	тоже	тоже	40	13	40
w9	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	то	то	219	27	186
w4	есть	быть	289	33	133
w5	тут	тут	94	32	94
w6	то	то	219	27	186
w7	явно	явно	35	12	38
w8	прошло	пройти	3	1	2
w9	как	как	121	18	119
w10	минимум	минима	1	1	1
w11	pge	pge	544	481	544
w2	скорее	скорее	17	3	17
w3	всего	всё	77	16	16
w4	отец	отец	9	6	7
w5	pge	pge	544	481	544
w2	отец	отец	9	6	7
w3	pge	pge	544	481	544
w2	дедушка	дедушка	9	5	8
w3	pge	pge	544	481	544
w2	ты	ты	42	5	33
w3	имеешь	имеешь	1	1	1
w4	в	в	159	26	159
w5	виду	вид	1	1	1
w6	pge	pge	544	481	544
w2	не	не	270	32	271
w3	дедушка	дедушка	9	5	8
w4	pge	pge	544	481	544
w2	да	да	387	14	392
w3	да	да	387	14	392
w4	да	да	387	14	392
w5	pge	pge	544	481	544
w2	уронила	уронить	3	2	1
w3	ребенка	ребенок	43	9	16
w4	pge	pge	544	481	544
w2	но	но	39	3	39
w3	он	он	570	142	350
w4	однозначно	однозначно	2	1	2
w5	pge	pge	544	481	544
w2	потому	потом	64	19	30
w3	что	что	258	54	251
w4	pge	pge	544	481	544
w2	мог	мочь	62	12	6
w3	ее	она	93	22	28
w4	уронить	уронить	3	2	2
w5	pge	pge	544	481	544
w2	судя	судить	6	3	6
w3	по	по	22	6	22
w4	тому	то	219	27	2
w5	что	что	258	54	251
w6	он	он	570	142	350
w7	pge	pge	544	481	544
w2	ему	он	570	142	64
w3	думать	думать	44	10	1
w4	pge	pge	544	481	544
w2	лучше	хорошо	30	3	3
w3	чем	чем	6	3	9
w4	большинство	большинство	1	1	1
w5	pge	pge	544	481	544
w2	слушай	слушай	36	7	36
w3	тут	тут	94	32	94
w4	pge	pge	544	481	544
w2	то	то	219	27	186
w3	есть	быть	289	33	133
w4	у	у	78	23	78
w5	нее	она	93	22	4
w6	они	они	119	30	84
w7	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	у	у	78	23	78
w4	этого	это	290	10	16
w5	pge	pge	544	481	544
w2	какаято	NA	NA	29	NA
w3	лавка	лавка	1	1	1
w4	pge	pge	544	481	544
w2	какието	NA	NA	29	NA
w3	бумаги	бумага	1	1	1
w4	газеты	газета	4	1	2
w5	pge	pge	544	481	544
w2	а	а	141	26	143
w3	дедушка	дедушка	9	5	8
w4	так	так	129	15	129
w5	pge	pge	544	481	544
w2	и	и	198	32	198
w3	тут	тут	94	32	94
w4	вот	вот	221	56	221
w5	дедушка	дедушка	9	5	8
w6	pge	pge	544	481	544
w2	тоже	тоже	40	13	40
w3	самый	самый	42	12	11
w4	такой	такой	75	10	22
w5	pge	pge	544	481	544
w2	жена	жена	14	6	14
w3	то	то	219	27	186
w4	тоже	тоже	40	13	40
w5	явно	явно	35	12	38
w6	pge	pge	544	481	544
w2	что	что	258	54	251
w3	мы	мы	48	4	40
w4	в	в	159	26	159
w5	самом	самый	42	12	23
w6	начале	начало	6	1	1
w7	сказали	сказать	15	2	4
w8	pge	pge	544	481	544
w2	что	что	258	54	251
w3	она	она	93	22	53
w4	явно	явно	35	12	38
w5	pge	pge	544	481	544
w2	никто	никто	3	2	3
w3	на	на	100	20	99
w4	самом	самый	42	12	23
w5	деле	дело	23	3	22
w6	не	не	270	32	271
w7	счастлив	счастлив	19	4	3
w8	pge	pge	544	481	544
w2	сурово	сурово	1	1	1
w3	pge	pge	544	481	544
w2	ожидание	ожидание	1	1	1
w3		NA	NA	29	NA
w4	реальность	реальность	1	1	1
w5	pge	pge	544	481	544
w2	то	то	219	27	186
w3	есть	быть	289	33	133
w4	как	как	121	18	119
w5	бы	бы	61	14	77
w6	pge	pge	544	481	544
w2	стандартная	стандартный	2	1	2
w3	ситуация	ситуация	12	1	7
w4	pge	pge	544	481	544
w2	он	он	570	142	350
w3	даже	даже	13	3	13
w4	не	не	270	32	271
w5	понимает	понимать	14	3	7
w6	о	о	27	3	22
w7	том	то	219	27	15
w8	что	что	258	54	251
w9	он	он	570	142	350
w10	натворил	натворить	4	1	4
w11	да	да	387	14	392
w12	pge	pge	544	481	544
w2	все	всё	77	16	131
w3	закончилось	закончиться	2	1	2
w4	вот	вот	221	56	221
w5	так	так	129	15	129
w6	pge	pge	544	481	544
w2	пошел	пойти	12	5	6
w3	напрямую	напрямую	2	2	2
w4	бить	бить	10	2	3
w5	pge	pge	544	481	544
w2	тут	тут	94	32	94
w3	очень	очень	24	3	24
w4	сложно	сложно	1	1	2
w5	их	их	12	3	14
w6	както	NA	NA	29	NA
w7	подругому	NA	NA	29	NA
w8	pge	pge	544	481	544
w2	а	а	141	26	143
w3	жена	жена	14	6	14
w4	не	не	270	32	271
w5	сделала	сделать	14	1	2
w6	pge	pge	544	481	544
w2	поэтому	поэтому	6	1	6
w3	когда	когда	22	1	22
w4	он	он	570	142	350
w5	вышел	выйти	16	3	14
w6	pge	pge	544	481	544
w2	он	он	570	142	350
w3	пошел	пойти	12	5	6
w4	напрямую	напрямую	2	2	2
w5	ей	она	93	22	10
w6	морду	морда	2	1	3
w7	pge	pge	544	481	544
w2	из	из	21	6	21
w3	тюрьмы	тюрьма	41	8	14
w4	pge	pge	544	481	544
w2	так	так	129	15	129
w3	и	и	198	32	198
w4	познакомились	познакомиться	4	3	4
w5	pge	pge	544	481	544
w2	познакомились	познакомиться	4	3	4
w3	pge	pge	544	481	544
w2	из	из	21	6	21
w3	очевидных	очевидный	3	1	1
w4	pge	pge	544	481	544
w2	он	он	570	142	350
w3	пришел	прийти	18	6	12
w4	pge	pge	544	481	544
w2	потом	потом	64	19	34
w3	ушел	уйти	3	1	3
w4	pge	pge	544	481	544
w2	хотя	хотя	9	4	9
w3	тут	тут	94	32	94
w4	он	он	570	142	350
w5	ребенком	ребенок	43	9	3
w6	pge	pge	544	481	544
w2	ребенок	ребенок	43	9	20
w3	мог	мочь	62	12	6
w4	как	как	121	18	119
w5	бы	бы	61	14	77
w6	с	с	55	18	54
w7	ним	он	570	142	16
w8	pge	pge	544	481	544
w2	хотя	хотя	9	4	9
w3	pge	pge	544	481	544
w2	выходит	выходить	12	2	10
w3	pge	pge	544	481	544
w2	тут	тут	94	32	94
w3	явно	явно	35	12	38
w4	pge	pge	544	481	544
w2	ему	он	570	142	64
w3	счастливы	счастлив	19	4	2
w4	pge	pge	544	481	544
w2	посмотри	посмотри	6	2	6
w3	тут	тут	94	32	94
w4	уже	уже	44	14	44
w5	както	NA	NA	29	NA
w6	pge	pge	544	481	544
w2	он	он	570	142	350
w3	там	там	77	14	79
w4	вышел	выйти	16	3	14
w5	pge	pge	544	481	544
w2	мы	мы	48	4	40
w3	можем	мозать	4	1	4
w4	в	в	159	26	159
w5	единую	единый	1	1	1
w6	нормальную	нормальный	4	1	2
w7	картинку	картинка	16	3	5
w8	pge	pge	544	481	544
w2	тут	тут	94	32	94
w3	ребенок	ребенок	43	9	20
w4	pge	pge	544	481	544
w2	не	не	270	32	271
w3	было	быть	289	33	42
w4	бы	бы	61	14	77
w5	ребенка	ребенок	43	9	16
w6	pge	pge	544	481	544
w2	мне	я	159	14	64
w3	кажется	казаться	39	7	39
w4	что	что	258	54	251
w5	вот	вот	221	56	221
w6	этот	этот	123	113	28
w7	вот	вот	221	56	221
w8	парень	парень	11	6	8
w9	pge	pge	544	481	544
w2	отношения	отношение	4	1	2
w3	к	к	22	3	22
w4	ним	он	570	142	16
w5	pge	pge	544	481	544
w2	кажется	казаться	39	7	39
w3	это	этот	123	113	321
w4	не	не	270	32	271
w5	имеет	иметь	5	1	4
w6	pge	pge	544	481	544
w2	которое	который	32	12	1
w3	этот	этот	123	113	28
w4	чувак	чувак	3	3	3
w5	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	тоже	тоже	40	13	40
w4	pge	pge	544	481	544
w2	он	он	570	142	350
w3	единственный	единственный	2	1	1
w4	как	как	121	18	119
w5	ну	ну	344	25	337
w6	кто	кто	15	2	11
w7	pge	pge	544	481	544
w2	эмоции	эмоция	1	1	1
w3	счастливые	счастлив	19	4	3
w4	pge	pge	544	481	544
w2	они	они	119	30	84
w3	както	NA	NA	29	NA
w4	ну	ну	344	25	337
w5	pge	pge	544	481	544
w2	парень	парень	11	6	8
w3	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	вообще	вообще	17	6	17
w4	колючая	колючать	1	1	1
w5	pge	pge	544	481	544
w2	решетка	решетка	7	1	1
w3	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	смотри	смотри	20	13	25
w4	у	у	78	23	78
w5	него	он	570	142	43
w6	pge	pge	544	481	544
w2	с	с	55	18	54
w3	одной	один	15	5	2
w4	стороны	сторона	11	2	4
w5	покорное	покорный	1	1	1
w6	pge	pge	544	481	544
w2	смотри	смотри	20	13	25
w3	вообще	вообще	17	6	17
w4	вот	вот	221	56	221
w5	тут	тут	94	32	94
w6	шмотки	шмотка	3	1	3
w7	которые	который	32	12	5
w8	на	на	100	20	99
w9	нем	он	570	142	1
w10	выглядят	выглядеть	11	2	4
w11	гораздо	гораздо	1	1	1
w12	хуже	хуже	1	1	1
w13	pge	pge	544	481	544
w2	и	и	198	32	198
w3	pge	pge	544	481	544
w2	собственно	собственно	5	1	5
w3	вопрос	вопрос	1	1	1
w4	в	в	159	26	159
w5	том	то	219	27	15
w6	что	что	258	54	251
w7	pge	pge	544	481	544
w2	ему	он	570	142	64
w3	выдают	выдавать	6	4	9
w4	эти	этот	123	113	14
w5	вещи	вещь	5	1	5
w6	сейчас	сейчас	11	5	11
w7	pge	pge	544	481	544
w2	может	мочь	62	12	52
w3	быть	быть	289	33	45
w4	ему	он	570	142	64
w5	обратно	обратно	5	1	5
w6	pge	pge	544	481	544
w2	они	они	119	30	84
w3	здесь	здесь	17	4	17
w4	тоже	тоже	40	13	40
w5	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	здесь	здесь	17	4	17
w4	pge	pge	544	481	544
w2	так	так	129	15	129
w3	нет	нет	44	6	42
w4	смотри	смотри	20	13	25
w5	это	этот	123	113	321
w6	реально	реально	7	2	7
w7	он	он	570	142	350
w8	pge	pge	544	481	544
w2	развивается	развиваться	2	1	1
w3	pge	pge	544	481	544
w2	и	и	198	32	198
w3	мы	мы	48	4	40
w4	потом	потом	64	19	34
w5	узнаем	узнать	2	2	2
w6	pge	pge	544	481	544
w2	что	что	258	54	251
w3	же	же	44	16	44
w4	там	там	77	14	79
w5	случилось	случиться	6	1	6
w6	pge	pge	544	481	544
w2	как	как	121	18	119
w3	он	он	570	142	350
w4	туда	туда	4	2	4
w5	попал	попадать	7	2	6
w6	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	pge	pge	544	481	544
w2	мы	мы	48	4	40
w3	сейчас	сейчас	11	5	11
w4	узнаем	узнать	2	2	2
w5	что	что	258	54	251
w6	там	там	77	14	79
w7	pge	pge	544	481	544
w2	те	тот	31	11	5
w3	в	в	159	26	159
w4	принципе	принцип	2	1	2
w5	особо	особо	5	1	5
w6	pge	pge	544	481	544
w2	смотри	смотри	20	13	25
w3	вот	вот	221	56	221
w4	этот	этот	123	113	28
w5	pge	pge	544	481	544
w2	чувак	чувак	3	3	3
w3	ему	он	570	142	64
w4	говорит	говорить	16	5	8
w5	о	о	27	3	22
w6	том	то	219	27	15
w7	что	что	258	54	251
w8	pge	pge	544	481	544
w2	он	он	570	142	350
w3	якобы	якобы	3	1	3
w4	там	там	77	14	79
w5	pge	pge	544	481	544
w2	что	что	258	54	251
w3	эта	этот	123	113	11
w4	девушка	девушка	10	7	7
w5	pge	pge	544	481	544
w2	у	у	78	23	78
w3	них	они	119	30	19
w4	похоже	похоже	14	1	13
w5	какойто	NA	NA	29	NA
w6	pge	pge	544	481	544
w2	потому	потом	64	19	30
w3	что	что	258	54	251
w4	этот	этот	123	113	28
w5	чувак	чувак	3	3	3
w6	pge	pge	544	481	544
w2	явно	явно	35	12	38
w3	недоволен	недоволен	1	4	4
w4	pge	pge	544	481	544
w2	его	он	570	142	93
w3	разозлило	разозлило	1	1	2
w4	pge	pge	544	481	544
w2	потому	потом	64	19	30
w3	что	что	258	54	251
w4	он	он	570	142	350
w5	явно	явно	35	12	38
w6	тоже	тоже	40	13	40
w7	недоволен	недоволен	1	4	4
w8	pge	pge	544	481	544
w2	может	мочь	62	12	52
w3	быть	быть	289	33	45
w4	он	он	570	142	350
w5	самый	самый	42	12	11
w6	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	на	на	100	20	99
w4	какойто	NA	NA	29	NA
w5	ну	ну	344	25	337
w6	лавочка	лавочка	5	2	1
w7	какойто	NA	NA	29	NA
w8	pge	pge	544	481	544
w2	потому	потом	64	19	30
w3	что	что	258	54	251
w4	тут	тут	94	32	94
w5	видно	видный	6	3	7
w6	что	что	258	54	251
w7	он	он	570	142	350
w8	был	быть	289	33	22
w9	недоволен	недоволен	1	4	4
w10	тем	то	219	27	6
w11	что	что	258	54	251
w12	ему	он	570	142	64
w13	рассказали	рассказать	10	6	2
w14	pge	pge	544	481	544
w2	а	а	141	26	143
w3	тут	тут	94	32	94
w4	он	он	570	142	350
w5	как	как	121	18	119
w6	бы	бы	61	14	77
w7	я	я	159	14	80
w8	вижу	видеть	37	12	8
w9	последствия	последствие	3	1	2
w10	pge	pge	544	481	544
w2	заковали	заковать	1	1	1
w3	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	наверное	наверное	51	10	51
w4	два	два	3	1	3
w5	понятых	понять	4	1	2
w6	pge	pge	544	481	544
w2	эти	этот	123	113	14
w3	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	действительно	действительно	7	1	7
w4	какаято	NA	NA	29	NA
w5	тропическая	тропический	1	1	1
w6	страна	страна	10	1	5
w7	pge	pge	544	481	544
w2	может	мочь	62	12	52
w3	быть	быть	289	33	45
w4	он	он	570	142	350
w5	скатился	скатиться	2	1	2
w6	pge	pge	544	481	544
w2	сынок	сынок	1	1	1
w3	который	который	32	12	15
w4	его	он	570	142	93
w5	отца	отец	9	6	2
w6	pge	pge	544	481	544
w2	у	у	78	23	78
w3	него	он	570	142	43
w4	нет	нет	44	6	42
w5	ни	ни	5	4	5
w6	злость	злодать	1	1	1
w7	на	на	100	20	99
w8	лице	лицо	8	1	3
w9	pge	pge	544	481	544
w2	все	всё	77	16	131
w3	очень	очень	24	3	24
w4	печально	печально	4	1	4
w5	pge	pge	544	481	544
w2	мне	я	159	14	64
w3	кажется	казаться	39	7	39
w4	что	что	258	54	251
w5	это	этот	123	113	321
w6	он	он	570	142	350
w7	сидит	сидеть	18	3	10
w8	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	здесь	здесь	17	4	17
w4	pge	pge	544	481	544
w2	с	с	55	18	54
w3	ним	он	570	142	16
w4	будет	быть	289	33	21
w5	в	в	159	26	159
w6	тюрьме	тюрьма	41	8	12
w7	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	на	на	100	20	99
w4	самом	самый	42	12	23
w5	деле	дело	23	3	22
w6	нифига	нифига	2	1	2
w7	не	не	270	32	271
w8	раскаивается	раскаиваться	3	2	3
w9	pge	pge	544	481	544
w2	не	не	270	32	271
w3	раскаивается	раскаиваться	3	2	3
w4	еще	еще	55	8	57
w5	а	а	141	26	143
w6	скорее	скорее	17	3	17
w7	только	только	12	2	12
w8	думает	думать	44	10	17
w9	pge	pge	544	481	544
w2	сейчас	сейчас	11	5	11
w3	пацан	пацать	1	1	1
w4	pge	pge	544	481	544
w2	которые	который	32	12	5
w3	все	всё	77	16	131
w4	так	так	129	15	129
w5	же	же	44	16	44
w6	не	не	270	32	271
w7	лавочке	лавочка	5	2	4
w8	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	слушай	слушай	36	7	36
w4	интересно	интересный	5	2	5
w5	это	этот	123	113	321
w6	картинка	картинка	16	3	6
w7	такая	такой	75	10	16
w8	хреновая	хреновый	1	1	1
w9	или	или	35	5	35
w10	он	он	570	142	350
w11	ему	он	570	142	64
w12	реально	реально	7	2	7
w13	глаз	глаз	9	3	5
w14	чето	NA	NA	29	NA
w2	а	а	141	26	143
w3	вот	вот	221	56	221
w4	дед	дед	10	5	7
w5	pge	pge	544	481	544
w2	скорее	скорее	17	3	17
w3	всего	всё	77	16	16
w4	это	этот	123	113	321
w5	отец	отец	9	6	7
w6	pge	pge	544	481	544
w2	слушай	слушай	36	7	36
w3	он	он	570	142	350
w4	походу	походу	4	1	6
w5	не	не	270	32	271
w6	арбузом	арбуз	7	1	3
w7	он	он	570	142	350
w8	все	всё	77	16	131
w9	таки	таки	12	3	12
w10	бутылкой	бутылка	7	2	5
w11	pge	pge	544	481	544
w2	мужчина	мужчина	6	3	4
w3	pge	pge	544	481	544
w2	дедушка	дедушка	9	5	8
w3	в	в	159	26	159
w4	шоке	шок	3	1	3
w5	pge	pge	544	481	544
w2	сейчас	сейчас	11	5	11
w3	уронит	урнать	1	1	1
w4	его	он	570	142	93
w5	pge	pge	544	481	544
w2	тут	тут	94	32	94
w3	он	он	570	142	350
w4	типа	типа	29	2	29
w5	что	что	258	54	251
w6	он	он	570	142	350
w7	там	там	77	14	79
w8	сидел	сидеть	18	3	2
w9	в	в	159	26	159
w10	темной	темный	3	1	1
w11	pge	pge	544	481	544
w2	наверное	наверное	51	10	51
w3	первый	первый	5	4	1
w4	момент	момент	6	1	6
w5	pge	pge	544	481	544
w2	покосившиеся	покоситься	1	1	1
w3	pge	pge	544	481	544
w2	на	на	100	20	99
w3	самом	самый	42	12	23
w4	деле	дело	23	3	22
w5	мне	я	159	14	64
w6	интересно	интересный	5	2	5
w7	что	что	258	54	251
w8	же	же	44	16	44
w9	у	у	78	23	78
w10	него	он	570	142	43
w11	pge	pge	544	481	544
w2	он	он	570	142	350
w3	говорит	говорить	16	5	8
w4	что	что	258	54	251
w5	ему	он	570	142	64
w6	наверное	наверное	51	10	51
w7	товарищ	товарище	1	1	1
w8	pge	pge	544	481	544
w2	она	она	93	22	53
w3	флиртовала	флиртовал	2	1	4
w4	pge	pge	544	481	544
w2	какимто	NA	NA	29	NA
w3	парнем	парень	11	6	1
w4	pge	pge	544	481	544
w2	а	а	141	26	143
w3	она	она	93	22	53
w4	говорит	говорить	16	5	8
w5	что	что	258	54	251
w6	она	она	93	22	53
w7	просто	просто	18	2	22
w8	pge	pge	544	481	544
w2	хотя	хотя	9	4	9
w3	бы	бы	61	14	77
w4	он	он	570	142	350
w5	pgb	pgb	548	3	548
w6	не	не	270	32	271
w7	вижу	видеть	37	12	8
w8	тут	тут	94	32	94
w9	ни	ни	5	4	5
w10	нотки	нотка	1	1	1
w11	раскаяние	раскаяние	1	1	1
w12	нигде	нигде	1	1	1
w13	pge	pge	544	481	544
w2	если	если	24	2	24
w3	у	у	78	23	78
w4	в	в	159	26	159
w5	pge	pge	544	481	544
w2	деда	дед	10	5	2
w3	он	он	570	142	350
w4	вообще	вообще	17	6	17
w5	pge	pge	544	481	544
w2	тут	тут	94	32	94
w3	к	к	22	3	22
w4	сожалению	сожаление	6	1	6
w5	pge	pge	544	481	544
w2	короче	короче	28	2	28
w3	переиначить	переиначить	1	1	1
w4	он	он	570	142	350
w5	предлагает	предлагать	3	2	1
w6	pge	pge	544	481	544
w2	не	не	270	32	271
w3	ну	ну	344	25	337
w4	смотри	смотри	20	13	25
w5	это	этот	123	113	321
w6	уже	уже	44	14	44
w7	встретила	встретить	2	1	1
w8	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	по	по	22	6	22
w4	прошествии	прошествие	1	1	1
w5	времени	время	3	1	1
w6	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	тут	тут	94	32	94
w4	уже	уже	44	14	44
w5	сын	сын	10	3	8
w6	есть	быть	289	33	133
w7	pge	pge	544	481	544
w2	потом	потом	64	19	34
w3	подала	подать	1	1	1
w4	на	на	100	20	99
w5	него	он	570	142	43
w6	pge	pge	544	481	544
